"","oil","HCR","FDR","F","acc","Material"
"acc_sum_n","4.14","0.424805648844461","0.517979216780251","0.52450182111969","0.968187412010294","ZD958/CAU1"
"acc_sum_n1","3.95","0.598776097109098","0.596259715996744","0.402478160244829","0.840440891985018","ZD958/CAU2"
"acc_sum_n2","3.58","0.619614418115667","0.568143993450795","0.404489995786285","0.874111681767498","ZD958/CAU3"
"acc_sum_n3","3.87","0.526661145591482","0.556772701194781","0.457788455581604","0.846815186465051","ZD958/CAU4"
"acc_sum_n4","3.6","0.545117167650447","0.419580912743908","0.510039966817336","0.843880855127115","ZD958/CAU5"
"acc_sum_n5","2.95","0.722633479316366","0.571530504924938","0.336744202377659","0.76370264159631","ZD958/CAU6"
"acc_sum_n6","4.24","0.272924940581995","0.235458919045594","0.745337539353314","0.928424675627891","ZD958/CAUZPY"
"acc_sum_n7","4.65","0.124160871657676","0.148338395674029","0.863581176053499","0.971962717542499","ZD958/CHOI1"
"acc_sum_n8","5.12","0.132286227808586","0.24296832487123","0.808602740297347","0.956098370284714","ZD958/CHOI2"
"acc_sum_n9","4.04","0.304105284816112","0.316734598771204","0.68952223331383","0.946036358280562","ZD958/CHOI3"
"acc_sum_n10","5.02","0.0963873299378248","0.133693559234468","0.884566386388269","0.966763082974325","ZD958/CHOI4"
"acc_sum_n11","2.49","0.671042000539058","0.448478344657863","0.412110511381011","0.722429601263658","JK968/CAU6"
"acc_sum_n12","3.38","0.301435978040265","0.275679613291916","0.711209089710892","0.896942161940369","JK968/CHOI4"
"acc_sum_n13","1.75","0.131064086221529","0.272162568646682","0.792152606283608","0.928003486692561","ND678/CAU6"
"acc_sum_n14","3.26","0.459465021142237","0.383600056566532","0.575980072814959","0.810866217031407","ND678/CHOI4"
"acc_sum_n15","2.19","0.560595289477104","0.541940099523548","0.448538417012073","0.808522914422957","XY335/CAU6"
"acc_sum_n16","3.45","0.386221036366088","0.412975172788278","0.600103851803554","0.91714795510108","XY335/CHOI4"
